"location_id","location_name","latitude","longitude","elevation","parent_location_id"
"105","PLOT__PA324",44.23426671,-122.1872579,659,NA
"106","PLOT__PA327",44.23305255,-122.1418826,864,NA
"107","PLOT__PA328",44.23203434,-122.12868698,999,NA
"108","PLOT__PA329",44.22493725,-122.11662204,1049,NA
"109","PLOT__PA330",44.2195116,-122.11587691,1060,NA
"110","PLOT__PA334",44.22405959,-122.23184447,528,NA
"111","PLOT__PA336",44.22253856,-122.22658094,637,NA
"112","PLOT__PA338",44.21689877,-122.23268869,765,NA
"113","PLOT__PA339",44.21398748,-122.23220074,744,NA
"114","PLOT__PA340",44.22018203,-122.22161662,719,NA
"115","PLOT__PA341",44.21680679,-122.22043428,788,NA
"116","PLOT__PA342",44.21823447,-122.21461923,839,NA
"117","PLOT__PA344",44.21836724,-122.20517827,936,NA
"118","PLOT__PA345",44.21613209,-122.208726,1044,NA
"119","PLOT__PA347",44.21247672,-122.23514949,748,NA
"120","PLOT__PA348",44.2270255,-122.22177685,556,NA
"121","PLOT__PA349",44.2293332,-122.21430888,569,NA
"122","PLOT__PA350",44.21669987,-122.22555511,831,NA
"123","PLOT__PA351",44.21351133,-122.22303138,889,NA
"124","PLOT__PA352",44.23121941,-122.20844874,576,NA
"125","PLOT__PA353",44.21180609,-122.22913728,852,NA
"126","PLOT__PA354",44.21446208,-122.22781328,844,NA
"127","PLOT__PA400",44.20882554,-122.15315441,1055,NA
"128","PLOT__PB008",44.2313263,-122.19667703,621,NA
"129","PLOT__PB014",44.21465447,-122.19440011,1184,NA
"130","PLOT__PB022",44.21460126,-122.18689002,1285,NA
"131","PLOT__PB030",44.21724823,-122.17934244,1077,NA
"132","PLOT__PB046",44.22524131,-122.16420706,758,NA
"133","PLOT__PB047",44.22254065,-122.16424527,797,NA
"134","PLOT__PB052",44.20633667,-122.16447443,1170,NA
"135","PLOT__PB055",44.23598871,-122.15654141,805,NA
"136","PLOT__PB060",44.2062815,-122.15696546,1167,NA
"137","PLOT__PB067",44.23593298,-122.14902868,876,NA
"138","PLOT__PB201",44.2105432,-122.23816611,756,NA
"139","PLOT__PB202",44.21017816,-122.24148785,669,NA
"140","PLOT__PB206",44.21744332,-122.25142374,468,NA
"141","PLOT__PB216",44.20376332,-122.12617514,1438,NA
"142","PLOT__PB225",44.27214142,-122.17079762,1115,NA
"143","PLOT__PB242",44.2326693,-122.15935615,744,NA
"144","PLOT__PB244",44.23097333,-122.15159193,874,NA
"145","PLOT__PB251",44.22647665,-122.12525432,991,NA
"146","PLOT__PB254",44.22969183,-122.17952014,636,NA
"147","PLOT__PB255",44.22865645,-122.1757657,662,NA
"148","PLOT__PB264",44.27484767,-122.16411823,1216,NA
"149","PLOT__PB267",44.27081129,-122.15392595,1244,NA
"150","PLOT__PB268",44.27132851,-122.14962071,1260,NA
"151","PLOT__PB269",44.2711026,-122.14589003,1231,NA
"152","PLOT__PB271",44.27815971,-122.14144647,1448,NA
"153","PLOT__PB278",44.27607606,-122.16209688,1352,NA
"154","PLOT__PB302",44.2380171,-122.2059031,640,NA
"155","PLOT__PB316",44.26597652,-122.17982994,1011,NA
"156","PLOT__PB325",44.23286802,-122.20212813,567,NA
"157","PLOT__PB326",44.23158688,-122.17388412,687,NA
"158","PLOT__PB331",44.21439431,-122.11333291,1129,NA
"159","PLOT__PB332",44.20891799,-122.11159208,1205,NA
"160","PLOT__PB333",44.2086377,-122.11738455,1244,NA
"161","PLOT__PB335",44.22647023,-122.22884575,576,NA
"162","PLOT__PB337",44.21963447,-122.23116339,729,NA
"163","PLOT__PB343",44.21965303,-122.21143304,888,NA
"164","PLOT__PB346",44.21501431,-122.20334566,1094,NA
"165","PLOT__PB356",44.21336742,-122.21909018,886,NA
"166","PLOT__PB357",44.21281981,-122.21537967,873,NA
